t_ps,label,keys_buffer,qber_proxy,throughput_bits_s,latency_s,disclosed_bits,starvation_events
0,normal,0,,,,0,0
20000000000,normal,0,,,,0,1
40000000000,normal,0,,,,0,1
60000000000,normal,0,,,,0,1
80000000000,normal,0,,,,0,1
100000000000,normal,0,,,,0,2
120000000000,normal,0,,,,0,2
140000000000,normal,0,0.0057,,,0,2
160000000000,normal,0,0.0057,,,0,2
180000000000,normal,0,0.0057,,,0,3
200000000000,normal,0,0.0057,,,0,3
220000000000,normal,0,0.0057,,,0,3
240000000000,normal,0,0.0057,,,0,3
260000000000,normal,0,0.0057,,,0,4
280000000000,normal,0,0.00575,,,0,4
300000000000,normal,0,0.00575,,,0,4
320000000000,normal,0,0.00575,,,0,5
340000000000,normal,0,0.00575,,,0,5
360000000000,normal,0,0.00575,,,0,5
380000000000,normal,0,0.00575,,,0,5
400000000000,normal,0,0.00575,,,0,6
420000000000,normal,0,0.00575,,,0,6
440000000000,normal,0,0.00575,,,0,6
460000000000,normal,0,0.00575,,,0,6
480000000000,normal,0,0.00575,,,0,6
500000000000,normal,0,0.00575,,,0,7
520000000000,normal,0,0.00575,,,0,7
540000000000,normal,0,0.00575,,,0,7
560000000000,normal,0,0.00575,,,0,7
580000000000,normal,0,0.00575,,,0,8
600000000000,normal,0,0.00575,,,0,8
620000000000,normal,0,0.00575,,,0,8
640000000000,normal,0,0.00575,,,0,9
660000000000,normal,0,0.00575,,,0,9
680000000000,normal,0,0.00575,,,0,9
700000000000,normal,0,0.00575,,,0,9
720000000000,normal,0,0.00575,,,0,9
740000000000,normal,0,0.00575,,,0,10
760000000000,normal,0,0.00575,,,0,10
780000000000,normal,0,0.00575,,,0,10
800000000000,normal,0,0.00575,,,0,11
820000000000,attenuation_jump,0,0.00575,,,0,11
840000000000,attenuation_jump,0,0.00575,,,0,11
860000000000,attenuation_jump,0,0.00575,,,0,11
880000000000,attenuation_jump,0,0.00575,,,0,11
900000000000,attenuation_jump,0,0.00575,,,0,12
920000000000,attenuation_jump,0,0.00575,,,0,12
940000000000,attenuation_jump,0,0.00575,,,0,12
960000000000,attenuation_jump,0,0.00575,,,0,12
980000000000,attenuation_jump,0,0.00575,,,0,13
